GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013
0100000US,,United States,308745538,308747716,309326295,311582564,313873685,316128839
0500000US06001,6001,"Alameda County, California",1510271,1510261,1513527,1531324,1553960,1578891
0500000US06003,6003,"Alpine County, California",1175,1175,1158,1112,1138,1159
0500000US06005,6005,"Amador County, California",38091,38091,37855,37493,37003,36519
0500000US06007,6007,"Butte County, California",220000,220000,219914,219913,221016,222090
0500000US06009,6009,"Calaveras County, California",45578,45578,45472,45118,44731,44515
0500000US06011,6011,"Colusa County, California",21419,21419,21459,21407,21355,21358
0500000US06013,6013,"Contra Costa County, California",1049025,1049025,1052700,1065917,1078257,1094205
0500000US06015,6015,"Del Norte County, California",28610,28610,28578,28485,28248,27873
0500000US06017,6017,"El Dorado County, California",181058,181058,181171,180933,180616,181737
0500000US06019,6019,"Fresno County, California",930450,930450,932719,940974,947581,955272
0500000US06021,6021,"Glenn County, California",28122,28122,28101,28173,27957,27940
0500000US06023,6023,"Humboldt County, California",134623,134623,135017,135227,134584,134493
0500000US06025,6025,"Imperial County, California",174528,174528,174750,175895,176768,176584
0500000US06027,6027,"Inyo County, California",18546,18546,18535,18423,18441,18467
0500000US06029,6029,"Kern County, California",839631,839631,841796,849467,855498,864124
0500000US06031,6031,"Kings County, California",152982,152982,152417,151994,151382,150960
0500000US06033,6033,"Lake County, California",64665,64665,64767,64295,63965,63860
0500000US06035,6035,"Lassen County, California",34895,34895,34846,34266,33657,32163
0500000US06037,6037,"Los Angeles County, California",9818605,9818610,9826044,9885201,9951690,10017068
0500000US06039,6039,"Madera County, California",150865,150865,151178,152141,152235,152389
0500000US06041,6041,"Marin County, California",252409,252409,252897,255252,255841,258365
0500000US06043,6043,"Mariposa County, California",18251,18250,18262,18189,17888,17755
0500000US06045,6045,"Mendocino County, California",87841,87840,87766,87434,87373,87192
0500000US06047,6047,"Merced County, California",255793,255798,256752,259620,261632,263228
0500000US06049,6049,"Modoc County, California",9686,9686,9705,9498,9346,9147
0500000US06051,6051,"Mono County, California",14202,14202,14259,14395,14349,14074
0500000US06053,6053,"Monterey County, California",415057,415057,416342,421343,426072,428826
0500000US06055,6055,"Napa County, California",136484,136484,136780,137883,138916,140326
0500000US06057,6057,"Nevada County, California",98764,98764,98774,98714,98267,98200
0500000US06059,6059,"Orange County, California",3010232,3010232,3018026,3053932,3085355,3114363
0500000US06061,6061,"Placer County, California",348432,348432,350137,356946,361420,367309
0500000US06063,6063,"Plumas County, California",20007,20007,19916,19649,19338,18859
0500000US06065,6065,"Riverside County, California",2189641,2189641,2202442,2236086,2264879,2292507
0500000US06067,6067,"Sacramento County, California",1418788,1418788,1421973,1435277,1448053,1462131
0500000US06069,6069,"San Benito County, California",55269,55269,55537,56133,56869,57600
0500000US06071,6071,"San Bernardino County, California",2035210,2035210,2041647,2063143,2077453,2088371
0500000US06073,6073,"San Diego County, California",3095313,3095308,3104182,3138550,3176138,3211252
0500000US06075,6075,"San Francisco County, California",805235,805235,805704,815016,827420,837442
0500000US06077,6077,"San Joaquin County, California",685306,685308,687489,695130,701151,704379
0500000US06079,6079,"San Luis Obispo County, California",269637,269734,270005,271253,274622,276443
0500000US06081,6081,"San Mateo County, California",718451,718451,719756,728288,738681,747373
0500000US06083,6083,"Santa Barbara County, California",423895,423798,424238,425724,430426,435697
0500000US06085,6085,"Santa Clara County, California",1781642,1781658,1786539,1811297,1836025,1862041
0500000US06087,6087,"Santa Cruz County, California",262382,262376,263309,264797,266508,269419
0500000US06089,6089,"Shasta County, California",177223,177223,177284,177917,178368,178980
0500000US06091,6091,"Sierra County, California",3240,3240,3222,3101,3075,3047
0500000US06093,6093,"Siskiyou County, California",44900,44900,44978,44726,44223,43799
0500000US06095,6095,"Solano County, California",413344,413344,414119,416760,420335,424788
0500000US06097,6097,"Sonoma County, California",483878,483878,484698,487549,490596,495025
0500000US06099,6099,"Stanislaus County, California",514453,514451,515281,517849,521450,525491
0500000US06101,6101,"Sutter County, California",94737,94737,94821,94739,94659,95350
0500000US06103,6103,"Tehama County, California",63463,63463,63655,63338,63264,63057
0500000US06105,6105,"Trinity County, California",13786,13786,13756,13718,13506,13448
0500000US06107,6107,"Tulare County, California",442179,442179,443342,447705,451043,454143
0500000US06109,6109,"Tuolumne County, California",55365,55365,55168,54703,54050,53874
0500000US06111,6111,"Ventura County, California",823318,823318,825312,830623,834398,839620
0500000US06113,6113,"Yolo County, California",200849,200849,201136,202080,203838,204593
0500000US06115,6115,"Yuba County, California",72155,72155,72388,72566,72969,73340
